节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
铁塔公园,龙亭区,1路,3
天伦苑,龙亭区,1路,0
龙亭区委·区政府,龙亭区,1路,0
体育场,龙亭区,1路,4
文昌后街,龙亭区,1路,4
天波杨府·公交三公司,龙亭区,1路,6
清明上河园,龙亭区,1路,9
法院街东口·兴盛德驿站店,龙亭区,1路,4
龙亭公园,龙亭区,1路,5
新街口·兴盛德花生老店,龙亭区,1路,3
中山路·行宫角,鼓楼区,1路,3
大纸坊街口,鼓楼区,1路,6
延庆观,鼓楼区,1路,5
客运西站,禹王台区,1路,1
大南门外,禹王台区,1路,1
中国银行,禹王台区,1路,2
二十七中,禹王台区,1路,3
火车站,禹王台区,1路,2
,,,
小李庄公交场站,龙亭区,2路,0
御景湾,龙亭区,2路,0
劳动路·苹果园中路,顺河回族区,2路,0
江南人家,顺河回族区,2路,0
开封日报社原址,顺河回族区,2路,0
劳动路·汴京路,顺河回族区,2路,0
劳动路南路口,顺河回族区,2路,0
节水办,顺河回族区,2路,0
宋门外,顺河回族区,2路,0
宋门里,鼓楼区,2路,0
自由路·解放路,鼓楼区,2路,3
相国寺,鼓楼区,2路,6
小纸坊街口,鼓楼区,2路,6
泰山庙,鼓楼区,2路,5
包公湖南路,鼓楼区,2路,4
包公湖南路·迎宾路,鼓楼区,2路,4
客运西站,禹王台区,2路,1
西坡南街,鼓楼区,2路,0
西坡西街,鼓楼区,2路,0
鼓楼区城管局,鼓楼区,2路,0
包公祠,鼓楼区,2路,3
鼓楼区法院,鼓楼区,2路,3
,,,
铁塔公园·公交一公司,顺河回族区,3路,3
河大附中,顺河回族区,3路,4
河大附中(世宇文慧苑),顺河回族区,3路,4
北道门,顺河回族区,3路,4
右司官口,顺河回族区,3路,6
东司门,龙亭区,3路,7
学院门,鼓楼区,3路,6
解放路·自由路,鼓楼区,3路,0
石油公司,鼓楼区,3路,1
小南门外,禹王台区,3路,0
演武厅,禹王台区,3路,0
开封高中,禹王台区,3路,0
,,,
火车站,禹王台区,4路,2
二十七中,禹王台区,4路,3
中国银行,禹王台区,4路,2
大南门外,禹王台区,4路,1
客运西站,禹王台区,4路,1
包公湖南路·迎宾路,鼓楼区,4路,3
包公湖南路,鼓楼区,4路,4
泰山庙,鼓楼区,4路,4
小纸坊街口,鼓楼区,4路,7
相国寺,鼓楼区,4路,6
解放路·自由路,鼓楼区,4路,1
学院门,鼓楼区,4路,6
汴京桥,顺河回族区,4路,3
汴京公园,顺河回族区,4路,0
汴京路·劳动路,顺河回族区,4路,0
供水总公司,顺河回族区,4路,1
化健生活区,顺河回族区,4路,1
开封市人民医院,顺河回族区,4路,0
客运东站,顺河回族区,4路,1
,,,
二十七中,禹王台区,5路,2
中国银行,禹王台区,5路,1
泰山庙,鼓楼区,5路,5
小纸坊街口,鼓楼区,5路,6
相国寺,鼓楼区,5路,6
自由路·解放路,鼓楼区,5路,3
宋门里,鼓楼区,5路,0
宋门外,顺河回族区,5路,0
节水办,顺河回族区,5路,0
大花园,顺河回族区,5路,0
化肥厂,顺河回族区,5路,0
工农路,顺河回族区,5路,0
氨水站,顺河回族区,5路,0
边村,顺河回族区,5路,0
康拜因生活区,顺河回族区,5路,0
六四六,顺河回族区,5路,0
张庄,顺河回族区,5路,0
土柏岗,顺河回族区,5路,0
火电厂,顺河回族区,5路,1
宏达大道,顺河回族区,5路,0
,,,
小马庄,龙亭区,6路,0
修防段,龙亭区,6路,0
梅庄,龙亭区,6路,0
王周庄,龙亭区,6路,0
牛庄,龙亭区,6路,0
卜里寨,龙亭区,6路,0
护城堤,龙亭区,6路,0
私坊院,龙亭区,6路,0
十七中,龙亭区,6路,0
复兴大道(临时站),龙亭区,6路,0
劳动路北段(临时站),龙亭区,6路,0
东京大道东段,龙亭区,6路,0
铁塔公园公交一公司,龙亭区,6路,3
,,,
310国道·榆杏大道,龙亭区,7路,0
杏花营·榆园新村,龙亭区,7路,0
正大孵化厂,龙亭区,7路,0
广砦,龙亭区,7路,0
临时站,龙亭区,7路,0
临时站(豫龙驾校),龙亭区,7路,0
检测中心,鼓楼区,7路,0
95982部队,鼓楼区,7路,0
刘寺,鼓楼区,7路,0
开封市第五人民医院,鼓楼区,7路,0
制漆总厂,鼓楼区,7路,0
小王屯,鼓楼区,7路,0
小汪屯桥,鼓楼区,7路,0
华夏大道·酒厂西路,鼓楼区,7路,0
五一路·华夏大道,鼓楼区,7路,0
五一路立交桥,鼓楼区,7路,0
五福路口,鼓楼区,7路,0
医院前街西口,鼓楼区,7路,0
一木,鼓楼区,7路,1
客运西站,禹王台区,7路,0
开封市眼病医院,鼓楼区,7路,3
行宫角,鼓楼区,7路,5
鼓楼广场,鼓楼区,7路,6
学院门,鼓楼区,7路,6
汴京桥,顺河回族区,7路,3
汴京公园,顺河回族区,7路,0
公园路·汴京路,顺河回族区,7路,0
宋门外,顺河回族区,7路,1
节水办,顺河回族区,7路,0
大花园,顺河回族区,7路,0
化肥厂,顺河回族区,7路,0
工农路,顺河回族区,7路,0
公交四公司,顺河回族区,7路,1
客运东站,顺河回族区,7路,1
,,,
开封北站,龙亭区,8路,0
东京大道三大街,龙亭区,8路,0
东京大道二大街,龙亭区,8路,0
东京大道一大街,龙亭区,8路,0
东京大桥,龙亭区,8路,0
天马广场,龙亭区,8路,0
河大新校区北门,龙亭区,8路,0
夷山大街·东京大道,龙亭区,8路,0
夷山大街·复兴大道,龙亭区,8路,0
复兴大道·黄河大街,龙亭区,8路,0
西环路·复兴大街,龙亭区,8路,0
香格里拉东门,龙亭区,8路,0
西环路·东京大道,龙亭区,8路,0
城市花园,龙亭区,8路,0
省一监,龙亭区,8路,0
小北岗生活区,龙亭区,8路,0
西环路·育新街,龙亭区,8路,0
西环路·大梁路,龙亭区,8路,0
马市街,龙亭区,8路,0
西环城路晋安路,龙亭区,8路,0
包公祠,鼓楼区,8路,3
西司桥,鼓楼区,8路,3
开封市眼病医院,鼓楼区,8路,3
行宫角,鼓楼区,8路,3
行宫角(宝视达眼镜),鼓楼区,8路,7
小纸坊街口,鼓楼区,8路,6
泰山庙,鼓楼区,8路,5
内环路西段,鼓楼区,8路,2
羊市桥,禹王台区,8路,1
市卫校,顺河回族区,8路,1
农机岗,顺河回族区,8路,0
钢材市场,禹王台区,8路,2
侯庄桥,禹王台区,8路,0
禹王台西门,禹王台区,8路,1
铁北街,禹王台区,8路,0
开封高中,禹王台区,8路,0
,,,
内环路·公交五公司,鼓楼区,9路,0
汴京桥,顺河回族区,9路,2
汴京公园,顺河回族区,9路,0
公园路·汴京路,顺河回族区,9路,0
宋门外,顺河回族区,9路,1
节水办,顺河回族区,9路,0
大花园,顺河回族区,9路,0
重工路南口,顺河回族区,9路,0
东货场,顺河回族区,9路,0
市政机械厂,顺河回族区,9路,0
羊尾铺,顺河回族区,9路,1
汽车配件公司,顺河回族区,9路,1
百塔,顺河回族区,9路,0
城东粮食储备库,顺河回族区,9路,0
皮屯,顺河回族区,9路,0
祥符区西口,祥符区,9路,0
青年路口,祥符区,9路,0
祥符市场,祥符区,9路,0
祥符大道·园区路,祥符区,9路,0
祥符大道南口,祥符区,9路,0
,,,
三里堡,禹王台区,10路,2
开封市肿瘤医院,禹王台区,10路,1
五福路西口,鼓楼区,10路,0
医院前街西口,鼓楼区,10路,0
一木,鼓楼区,10路,1
西郊商场(西环路),龙亭区,10路,0
汉兴路东口,龙亭区,10路,0
西环路·向阳路,龙亭区,10路,0
包公祠,鼓楼区,10路,3
西司桥,鼓楼区,10路,5
开封市眼病医院,鼓楼区,10路,3
行宫角,鼓楼区,10路,9
鼓楼广场,鼓楼区,10路,5
学院门,鼓楼区,10路,6
东司门,龙亭区,10路,7
右司官口,顺河回族区,10路,6
北道门,顺河回族区,10路,4
明伦街,顺河回族区,10路,3
河大老小区南门,顺河回族区,10路,0
苹果园,顺河回族区,10路,0
河大老校区东门,龙亭区,10路,3
河大仁和公寓,龙亭区,10路,4
东环北路·东京大道,龙亭区,10路,0
东环北路仁和新苑北路,龙亭区,10路,0
劳动路北段,龙亭区,10路,0
劳动路东京大道,龙亭区,10路,0
仁和苑小区,龙亭区,10路,0
,,,
水稻乡·马头村,龙亭区,11路,0
水稻乡,龙亭区,11路,0
单寨,龙亭区,11路,0
开封市廉政文化教育中心,龙亭区,11路,0
金明大道稻一路,龙亭区,11路,0
金明大道·连霍高速,龙亭区,11路,0
喜台村,龙亭区,11路,0
金明大道·天马广场,龙亭区,11路,0
河大新校区西门,龙亭区,11路,0
河大新校区小西门,龙亭区,11路,0
省税校(金明大道),龙亭区,11路,0
市政协,龙亭区,11路,0
金明广场·中原银行开封分行,龙亭区,11路,0
开封市财政局,龙亭区,11路,0
大梁路夷山大街,龙亭区,11路,0
大梁路·武夷街,龙亭区,11路,0
大梁路·黄河大街,龙亭区,11路,0
马市街,龙亭区,11路,0
大梁门,龙亭区,11路,2
城隍庙后街,龙亭区,11路,5
西门大街·迎宾路,龙亭区,11路,3
新街口,龙亭区,11路,2
书店街北口,龙亭区,11路,6
东司门,龙亭区,11路,7
学院门,鼓楼区,11路,4
汴京桥,顺河回族区,11路,3
内环路公交五公司,顺河回族区,11路,0
,,,
小李庄公交场站,龙亭区,12路,0
河大仁和公寓,龙亭区,12路,4
河大老校区东门,龙亭区,12路,3
苹果园,顺河回族区,12路,0
三教堂街·体育公园,顺河回族区,12路,2
曹门,顺河回族区,12路,4
仪表厂生活区,顺河回族区,12路,0
公园路·汴京路,顺河回族区,12路,0
宋门外,顺河回族区,12路,0
农机岗,顺河回族区,12路,1
钢材市场,禹王台区,12路,1
侯庄桥,禹王台区,12路,0
禹王台西门,禹王台区,12路,0
铁北街,禹王台区,12路,0
开封高中,禹王台区,12路,0
,,,
宋城路站·公交六公司,龙亭区,13路,0
宋城路·集英街站,龙亭区,13路,0
龙成香榭里西门,龙亭区,13路,0
龙成香榭里,龙亭区,13路,0
康禧园,龙亭区,13路,0
开封网通公司,龙亭区,13路,0
金明小学,龙亭区,13路,0
金明东街·晋安路,龙亭区,13路,0
市发改委,龙亭区,13路,0
市财政局,龙亭区,13路,1
大梁路·夷山大街,龙亭区,13路,0
大梁路·武夷街,龙亭区,13路,0
大梁路·黄河大街,龙亭区,13路,0
马市街,龙亭区,13路,0
大梁门,龙亭区,13路,2
城隍庙后街,龙亭区,13路,6
西门大街·迎宾路,龙亭区,13路,2
新街口·兴盛德花生老店,龙亭区,13路,3
鼓楼广场,鼓楼区,13路,6
学院门,鼓楼区,13路,6
汴京桥,顺河回族区,13路,3
汴京公园,顺河回族区,13路,0
劳动路口,顺河回族区,13路,0
供水总公司,顺河回族区,13路,1
化建生活区,顺河回族区,13路,1
开封市人民医院,顺河回族区,13路,0
客运东站,顺河回族区,13路,1
,,,
宋城路站·公交六公司,龙亭区,14路,0
宋城路·集英街,龙亭区,14路,0
集英街·宋城路,龙亭区,14路,0
周天路·集英街,龙亭区,14路,0
黄河社区,龙亭区,14路,0
金明大道·北宋官瓷艺术博物馆,龙亭区,14路,0
豪德贸易广场,龙亭区,14路,0
广电中心,龙亭区,14路,0
康乐西口,龙亭区,14路,0
南正门,龙亭区,14路,0
三毛未来购物广场,龙亭区,14路,0
城西办事处,龙亭区,14路,0
汉兴路东口,龙亭区,14路,0
西环路·向阳路,龙亭区,14路,0
包公祠,鼓楼区,14路,3
西司桥,鼓楼区,14路,3
开封市眼病医院,鼓楼区,14路,3
行宫角,鼓楼区,14路,9
新街口兴盛德花生老店,龙亭区,14路,3
新街口,龙亭区,14路,2
书店街北口,龙亭区,14路,6
东司门,龙亭区,14路,7
白衣阁,顺河回族区,14路,6
石桥口,顺河回族区,14路,5
曹门,顺河回族区,14路,5
新曹路·劳动路,顺河回族区,14路,0
新曹路·轴承厂,顺河回族区,14路,1
东苑小区北门,顺河回族区,14路,0
鲁屯,顺河回族区,14路,0
李长庄,顺河回族区,14路,0
小罗庄,顺河回族区,14路,0
火电厂,顺河回族区,14路,0
,,,
汪屯桥,祥符区,15路,0
汪屯乡政府,禹王台区,15路,0
屠府坟,禹王台区,15路,0
大堤,禹王台区,15路,0
招呼站,禹王台区,15路,0
杨正门,禹王台区,15路,0
95900部队,禹王台区,15路,0
南苑小区,禹王台区,15路,0
豆腐营,禹王台区,15路,0
蔬菜批发市场,禹王台区,15路,0
药厂,禹王台区,15路,0
禹王台西门,禹王台区,15路,0
钢材市场,禹王台区,15路,2
农机岗,顺河回族区,15路,0
宋门外,顺河回族区,15路,0
公园路·汴京路,顺河回族区,15路,0
汴京公园,顺河回族区,15路,0
汴京桥,顺河回族区,15路,3
学院门,鼓楼区,15路,6
鼓楼广场,鼓楼区,15路,6
新街口·兴盛德花生老店,龙亭区,15路,3
龙亭公园,龙亭区,15路,5
法院街东口·兴盛德驿站店,龙亭区,15路,4
清明上河园,龙亭区,15路,9
天波杨府·公交三公司,龙亭区,15路,6
,,,
河南应用职业技术学院,龙亭区,16路,0
河南化工技师学院,龙亭区,16路,0
东京大道·六大街,龙亭区,16路,0
河南医药健康技师学院,龙亭区,16路,0
开封技师学院,龙亭区,16路,0
东京大道·三大街,龙亭区,16路,0
东京大道·二大街,龙亭区,16路,0
东京大道·一大街,龙亭区,16路,0
东京大桥,龙亭区,16路,0
河大新校区西门,龙亭区,16路,0
河大新校区小西门,龙亭区,16路,0
省税校,龙亭区,16路,0
市政协,龙亭区,16路,0
金明广场·中原银行开封分行,龙亭区,16路,0
市发改委,龙亭区,16路,0
晋安路·金明东街,龙亭区,16路,1
市委·市政府,龙亭区,16路,1
北正门,龙亭区,16路,0
马市街村委会,龙亭区,16路,0
晋安路·黄河大道,龙亭区,16路,0
马市一街,龙亭区,16路,0
包公祠,鼓楼区,16路,3
西司桥,鼓楼区,16路,3
开封市眼病医院,鼓楼区,16路,3
延庆观,鼓楼区,16路,5
大纸坊街口,鼓楼区,16路,6
相国寺,鼓楼区,16路,6
自由路·解放路口,鼓楼区,16路,4
内环路·公交五公司,鼓楼区,16路,0
,,,
市人大·市检查院,龙亭区,17路,0
金明广场·中原银行开封分行,龙亭区,17路,1
市发改委,龙亭区,17路,0
金明东街·晋安路,龙亭区,17路,1
金明小学,龙亭区,17路,1
金明中学,龙亭区,17路,1
康乐西口,龙亭区,17路,0
广电中心,龙亭区,17路,0
