节点名称,区域属性,500M内是否有文保单位/古迹遗址/宗祠故地,线路,500M内文保单位/古迹遗址/宗祠故地的个数,,
客运中心站东门,丰泽区,否,22路,0,,
妙云街口,丰泽区,否,22路,0,,
,,,,,,
中骏商城S公寓,鲤城区,是,23路,1,,
高新科技园,鲤城区,是,23路,1,,
洋仕村口(市中医院东),鲤城区,是,23路,1,,
樟崎村口,鲤城区,是,23路,4,,
万祥汽车站,鲤城区,否,23路,0,,
池峰路中段,鲤城区,否,23路,0,,
南天裕景,晋江市,否,23路,0,,
桥南片区,晋江市,是,23路,1,,
晋江第三实小路口,晋江市,是,23路,2,,
华洲,晋江市,否,23路,0,,
华洲家装市场,晋江市,是,23路,1,,
温陵路南段,丰泽区,是,23路,6,,
海关大楼,丰泽区,是,23路,2,,
温陵路中段,丰泽区,是,23路,2,,
儿童医院,丰泽区,否,23路,0,,
青少年宫,丰泽区,否,23路,0,,
湖心街中段,丰泽区,否,23路,0,,
线务局,丰泽区,是,23路,1,,
圣墓,丰泽区,是,23路,2,,
坪山路口,丰泽区,否,23路,0,,
明日广场,丰泽区,否,23路,0,,
火车东站,丰泽区,否,23路,0,,
,,,,,,
万祥汽车站,鲤城区,否,24路,0,,
乌石路口,鲤城区,否,24路,0,,
国防教育中心,鲤城区,是,24路,1,,
火炬工业区路口,鲤城区,是,24路,1,,
浦口,鲤城区,是,24路,4,,
上埕路口,鲤城区,是,24路,4,,
泉州建材市场,鲤城区,是,24路,3,,
王宫,鲤城区,是,24路,1,,
锦工中路口,鲤城区,是,24路,1,,
霞洲,鲤城区,是,24路,4,,
浮桥站,鲤城区,是,24路,4,,
三千坛,鲤城区,是,24路,5,,
蔬菜公司,鲤城区,是,24路,5,,
甲第巷口,鲤城区,是,24路,3,,
新门菜市,鲤城区,是,24路,11,,
新门街头,鲤城区,是,24路,9,,
水门巷口,鲤城区,是,24路,9,,
指挥巷口,鲤城区,是,24路,7,,
义全街口,鲤城区,是,24路,4,,
鲤城公安分局,鲤城区,是,24路,10,,
幸福街口,鲤城区,是,24路,7,,
温陵路南段,丰泽区,是,24路,6,,
宝洲街西段,丰泽区,是,24路,3,,
东南医院,丰泽区,是,24路,2,,
浦西村口,丰泽区,是,24路,1,,
宝洲街中段,丰泽区,否,24路,0,,
丰泽交警大队,丰泽区,否,24路,0,,
刺桐南路中段,丰泽区,否,24路,0,,
客运中心站南门,丰泽区,否,24路,0,,
客运中心站,丰泽区,否,24路,0,,
,,,,,,
泉州江南老年颐乐园,鲤城区,是,25路,2,,
亭点街尾,鲤城区,是,25路,4,,
万祥汽车站,鲤城区,否,25路,0,,
乌石路口,鲤城区,否,25路,0,,
国防教育中心,鲤城区,是,25路,1,,
火炬工业区路口,鲤城区,否,25路,0,,
朵莲寺,鲤城区,是,25路,2,,
金山水闸,鲤城区,否,25路,0,,
新华南路,鲤城区,否,25路,0,,
金山北区,鲤城区,是,25路,1,,
新华桥,鲤城区,是,25路,3,,
芳草园,鲤城区,是,25路,2,,
新门菜市,鲤城区,是,25路,11,,
新门街头,鲤城区,是,25路,9,,
府文庙,鲤城区,是,25路,9,,
百源路,鲤城区,是,25路,8,,
承天寺,鲤城区,是,25路,14,,
泉州一院,鲤城区,是,25路,13,,
东门,丰泽区,是,25路,6,,
东湖影院,丰泽区,是,25路,4,,
侨乡体育馆,丰泽区,否,25路,0,,
圣墓,丰泽区,是,25路,2,,
坪山路口,丰泽区,是,25路,1,,
明日广场,丰泽区,否,25路,0,,
泉州盲聋哑学校,丰泽区,是,25路,2,,
华大街道办事处,丰泽区,是,25路,2,,
,,,,,,
见龙亭小区,丰泽区,否,26路,0,,
招联路口,丰泽区,否,26路,0,,
见龙亭小区南门,丰泽区,否,26路,0,,
潘山市场,丰泽区,是,26路,1,,
丰泽实小潘山校区,丰泽区,否,26路,0,,
北清西路,丰泽区,否,26路,0,,
北峰工业区,丰泽区,否,26路,0,,
坑尾路口,丰泽区,否,26路,0,,
西湖公园,丰泽区,否,26路,0,,
邮电公寓,丰泽区,否,26路,0,,
建南花园,丰泽区,否,26路,0,,
新华小区,丰泽区,否,26路,0,,
西湖小区,丰泽区,是,26路,3,,
培元中学,鲤城区,是,26路,13,,
开元寺西门,鲤城区,是,26路,13,,
省五建,鲤城区,是,26路,8,,
新门菜市,鲤城区,是,26路,11,,
新门街头,鲤城区,是,26路,9,,
府文庙,鲤城区,是,26路,9,,
关帝庙,鲤城区,是,26路,6,,
棋盘园,鲤城区,是,26路,4,,
津坂路口,丰泽区,否,26路,0,,
水务集团,丰泽区,否,26路,0,,
刺桐公园南门,丰泽区,否,26路,0,,
祥远路南段,丰泽区,否,26路,0,,
远太苑,丰泽区,否,26路,0,,
祥园路北段,丰泽区,否,26路,0,,
公交大厦,丰泽区,否,26路,0,,
坪山洞东侧,丰泽区,是,26路,2,,
山海路口,丰泽区,是,26路,2,,
东星,丰泽区,是,26路,2,,
埭头,丰泽区,否,26路,0,,
同兴街,丰泽区,否,26路,0,,
美仙路,丰泽区,否,26路,0,,
东辅路中段,丰泽区,否,26路,0,,
东辅路北段,丰泽区,否,26路,0,,
体育街西段,丰泽区,否,26路,0,,
世界城北门,丰泽区,否,26路,0,,
泉州一院城东分院,丰泽区,否,26路,0,,
金凤屿路口,丰泽区,否,26路,0,,
医高专,洛江区,否,26路,0,,
,,,,,,
西湖公园,丰泽区,否,27路,0,,
邮电公寓,丰泽区,否,27路,0,,
建南花园,丰泽区,否,27路,0,,
西湖街西段,丰泽区,是,27路,1,,
西湖街中段,丰泽区,否,27路,0,,
西湖街东段,丰泽区,是,27路,1,,
普明村,丰泽区,是,27路,3,,
大希夷,丰泽区,是,27路,3,,
刺桐新村路口,丰泽区,是,27路,3,,
泉州科技中学,鲤城区,是,27路,2,,
后茂路口,丰泽区,是,27路,2,,
圣福花苑,丰泽区,是,27路,2,,
柑舍头,丰泽区,是,27路,1,,
田安路北段,丰泽区,否,27路,0,,
闽侨站,丰泽区,否,27路,0,,
青少年宫,丰泽区,否,27路,0,,
丰泽小区,丰泽区,是,27路,2,,
后坂街口,丰泽区,否,27路,0,,
信和站,丰泽区,否,27路,0,,
泉秀街西段,丰泽区,否,27路,0,,
幸福街口,鲤城区,是,27路,7,,
鲤城公安分局,鲤城区,是,27路,10,,
大隘门,鲤城区,是,27路,13,,
土地后,鲤城区,是,27路,13,,
朵莲寺,鲤城区,是,27路,2,,
展览城,晋江市,否,27路,0,,
金浦供水公司,晋江市,否,27路,0,,
清濛,晋江市,否,27路,0,,
诺林商城,鲤城区,是,27路,2,,
清濛科技园,晋江市,否,27路,0,,
仙公山公园,晋江市,是,27路,1,,
御辇村,晋江市,否,27路,0,,
清濛唐厝村,晋江市,否,27路,0,,
,,,,,,
温陵路公交首末站,丰泽区,是,28路,6,,
海关大楼,丰泽区,是,28路,3,,
温陵路中段,鲤城区,是,28路,3,,
九一路口,鲤城区,是,28路,5,,
东湖公园,丰泽区,是,28路,6,,
东湖影院,丰泽区,是,28路,4,,
柑舍头,丰泽区,是,28路,1,,
圣福花苑,丰泽区,是,28路,2,,
靶场路口,丰泽区,否,28路,0,,
瑞像岩,丰泽区,是,28路,1,,
水流坑,丰泽区,否,28路,0,,
天湖路口,丰泽区,否,28路,0,,
微波站,丰泽区,否,28路,0,,
福鼎村口,丰泽区,否,28路,0,,
清源山柳洋村,丰泽区,否,28路,0,,
,,,,,,
曾林村,鲤城区,是,29路,1,,
大乡村,鲤城区,否,29路,0,,
坑头村,鲤城区,是,29路,1,,
赤土村,鲤城区,是,29路,1,,
元福路口,鲤城区,是,29路,1,,
赤土村口,鲤城区,否,29路,0,,
泉州经贸学院,鲤城区,否,29路,0,,
高新科技园,鲤城区,是,29路,2,,
市中医院,鲤城区,是,29路,3,,
笋江路中段,鲤城区,是,29路,2,,
笋江路东段,鲤城区,是,29路,1,,
三千坛,鲤城区,是,29路,5,,
蔬菜公司,鲤城区,是,29路,5,,
甲第巷口,鲤城区,是,29路,3,,
新门菜市,鲤城区,是,29路,11,,
鲤城区政府,鲤城区,是,29路,14,,
九一街,鲤城区,是,29路,7,,
儿童医院,丰泽区,否,29路,0,,
泰和兴业,丰泽区,否,29路,0,,
人民医院,丰泽区,否,29路,0,,
公交大厦,丰泽区,否,29路,0,,
云吞山兜,丰泽区,是,29路,2,,
泉州农校,丰泽区,是,29路,2,,
云谷工业区,丰泽区,否,29路,0,,
妙云街口,丰泽区,否,29路,0,,
客运中心站东门,丰泽区,否,29路,0,,
客运中心站,丰泽区,否,29路,0,,
,,,,,,
清源山风景区,丰泽区,是,30路,1,,
清源山风景区（910医院路口）,丰泽区,是,30路,1,,
花园头,丰泽区,否,30路,0,,
花博园,丰泽区,否,30路,0,,
北清东路中石油,丰泽区,否,30路,0,,
泉州科技中学,丰泽区,是,30路,2,,
后茂路口,丰泽区,是,30路,2,,
温陵北路口,丰泽区,否,30路,0,,
盛达花园,丰泽区,是,30路,2,,
仁风社区,丰泽区,是,30路,3,,
东湖公园,鲤城区,是,30路,6,,
九一街口,鲤城区,是,30路,3,,
儿童医院,丰泽区,否,30路,0,,
泰和兴业,丰泽区,否,30路,0,,
人民医院,丰泽区,否,30路,0,,
公交大厦,丰泽区,是,30路,0,,
云谷山兜,丰泽区,是,30路,2,,
泉州农校,丰泽区,否,30路,2,,
云谷工业区,丰泽区,否,30路,0,,
妙云街口,丰泽区,否,30路,0,,
客运中心站东门,丰泽区,否,30路,0,,
坪山路南段,丰泽区,否,30路,0,,
宝洲花园,丰泽区,否,30路,0,,
董埭路口,丰泽区,否,30路,0,,
东海街道办事处,丰泽区,是,30路,3,,
黎明大学,丰泽区,是,30路,6,,
宝珊花园,丰泽区,是,30路,4,,
法坊路口,丰泽区,否,30路,0,,
霞露口,丰泽区,是,30路,1,,
东海滨城,丰泽区,否,30路,0,,
医大二院东海院区,丰泽区,否,30路,0,,
东海大街中段,丰泽区,否,30路,0,,
东海大街东段,丰泽区,是,30路,1,,
泉州师院,丰泽区,否,30路,0,,
东海大街口,丰泽区,否,30路,0,,
府西路,丰泽区,否,30路,0,,
泉州行政中心,丰泽区,否,30路,0,,
晋光小学东海校区,丰泽区,否,30路,0,,
海星小区,丰泽区,否,30路,0,,
,,,,,,
圣墓,丰泽区,是,31路,2,,
凤山村,丰泽区,是,31路,1,,
湖心街东段,丰泽区,否,31路,0,,
湖心街中段,丰泽区,否,31路,0,,
东湖菜市场,丰泽区,是,31路,1,,
水漈路口,丰泽区,是,31路,1,,
九一街,鲤城区,是,31路,7,,
打锡街,鲤城区,是,31路,9,,
鲤城区政府,鲤城区,是,31路,14,,
新门菜市,鲤城区,是,31路,11,,
芳草园,鲤城区,是,31路,2,,
新华桥,鲤城区,是,31路,1,,
金山北区,鲤城区,否,31路,0,,
新华南路,鲤城区,否,31路,0,,
新华旱闸,鲤城区,否,31路,0,,
金洲旱闸,鲤城区,否,31路,0,,
金洲寺,鲤城区,是,31路,1,,
临漳水闸,鲤城区,是,31路,3,,
三千坛,鲤城区,是,31路,5,,
浮桥站,鲤城区,是,31路,3,,
霞洲,鲤城区,是,31路,1,,
锦工中路口,鲤城区,是,31路,1,,
王宫,鲤城区,是,31路,1,,
泉州建材市场,鲤城区,是,31路,1,,
上埕路口,鲤城区,是,31路,4,,
浦口,鲤城区,是,31路,1,,
展览城,晋江市,否,31路,0,,
金浦供水公司,晋江市,否,31路,0,,
清濛,晋江市,否,31路,0,,
诺林商城,晋江市,是,31路,1,,
清濛科技园,晋江市,否,31路,0,,
崇祥街,晋江市,否,31路,0,,
兴泰路南段,晋江市,否,31路,0,,
崇顺街,晋江市,否,31路,0,,
吉泰路富丽,晋江市,否,31路,0,,
旧铺村后岭,晋江市,否,31路,0,,
清濛缺井村,晋江市,否,31路,0,,
崇宏街西段,晋江市,否,31路,0,,
福泰路口,晋江市,是,31路,1,,
高尔夫球场,晋江市,是,31路,1,,
后厝街站,晋江市,是,31路,2,,
洋店,晋江市,是,31路,3,,
晋江旧货市场,晋江市,否,31路,0,,
苏垵路口,晋江市,否,31路,0,,
开元路口,晋江市,是,31路,1,,
泉州综合保税区,晋江市,是,31路,1,,
,,,,,,
泉州一院城东分院首末站,丰泽区,否,32路,0,,
泉州一院城东分院,丰泽区,否,32路,0,,
世界城北门,丰泽区,否,32路,0,,
体育街西段,丰泽区,否,32路,0,,
东浦路北段,丰泽区,否,32路,0,,
东方花园城,丰泽区,否,32路,0,,
黄林新村,丰泽区,否,32路,0,,
明日广场站,丰泽区,否,32路,0,,
坪山路口,丰泽区,否,32路,0,,
圣墓,丰泽区,是,32路,2,,
线务局,丰泽区,是,32路,1,,
国税局,丰泽区,否,32路,0,,
丰泽路口,丰泽区,是,32路,2,,
祥业花园,丰泽区,否,32路,0,,
东美街口,丰泽区,是,32路,2,,
公路一公司,丰泽区,是,32路,2,,
刺桐南路中段,丰泽区,否,32路,0,,
丰泽交警大队,丰泽区,否,32路,0,,
溜石村口,丰泽区,是,32路,1,,
霞福村口,丰泽区,是,32路,1,,
中远学校,丰泽区,否,32路,0,,
东山站,丰泽区,否,32路,0,,
安踏鞋业,丰泽区,否,32路,0,,
华洲,丰泽区,否,32路,0,,
海丝景城路口,丰泽区,是,32路,1,,
海丝景城,丰泽区,是,32路,1,,
兴霞路,丰泽区,否,32路,0,,
百捷中央广场,丰泽区,否,32路,0,,
,,,,,,
福厦铁路泉州站,丰泽区,是,33路,1,,
泉州软件园,丰泽区,否,33路,0,,
霞美,丰泽区,否,33路,0,,
曾坑,丰泽区,是,33路,1,,
黄龙大桥头,丰泽区,否,33路,0,,
招贤社区,丰泽区,否,33路,0,,
丰泽实小潘山校区,丰泽区,否,33路,0,,
北清西路,丰泽区,否,33路,0,,
北峰工业区,丰泽区,否,33路,0,,
坑尾路口,丰泽区,否,33路,0,,
西湖公园,丰泽区,否,33路,0,,
邮电公寓,丰泽区,否,33路,0,,
建南花园,丰泽区,否,33路,0,,
新华小区,丰泽区,否,33路,0,,
西湖小区,丰泽区,是,33路,3,,
培元中学,鲤城区,是,33路,13,,
开元寺西门,鲤城区,是,33路,13,,
省五建,鲤城区,是,33路,8,,
新门菜市,鲤城区,是,33路,11,,
新门街头,鲤城区,是,33路,9,,
府文庙,鲤城区,是,33路,9,,
关帝庙,鲤城区,是,33路,6,,
棋盘园,鲤城区,是,33路,4,,
海关大楼,丰泽区,是,33路,4,,
泉州汽车站,丰泽区,是,33路,2,,
,,,,,,
,,,,,,
田洋村,鲤城区,是,41路,2,,
紫新路,鲤城区,是,41路,1,,
鲤城区教育基地,鲤城区,否,41路,0,,
赤土村口,鲤城区,否,41路,0,,
泉州经贸学院,鲤城区,否,41路,0,,
高新科技园,鲤城区,是,41路,1,,
洋仕村口(市中医院东),鲤城区,是,41路,1,,
樟崎村口,鲤城区,是,41路,4,,
乌石路口,鲤城区,否,41路,0,,
火炬街中段,鲤城区,是,41路,3,,
火炬街东段,鲤城区,是,41路,3,,
泉州建材市场,鲤城区,是,41路,1,,
王宫,鲤城区,是,41路,1,,
锦工中路口,鲤城区,是,41路,1,,
霞洲,鲤城区,是,41路,1,,
浮桥站,鲤城区,是,41路,4,,
三千坛,鲤城区,是,41路,5,,
龙头山,鲤城区,是,41路,3,,
孟衙巷口,鲤城区,是,41路,3,,
城西路北段,鲤城区,是,41路,6,,
培元中学,鲤城区,是,41路,13,,
开元寺西门,鲤城区,是,41路,13,,
省五建,鲤城区,是,41路,8,,
新门菜市,鲤城区,是,41路,11,,
新门街头,鲤城区,是,41路,9,,
府文庙,鲤城区,是,41路,9,,
关帝庙,鲤城区,是,41路,6,,
棋盘园,鲤城区,是,41路,4,,
温陵路中段,鲤城区,是,41路,3,,
儿童医院,丰泽区,否,41路,0,,
青少年宫,丰泽区,否,41路,0,,
闽侨站,丰泽区,否,41路,0,,
田安路北段,丰泽区,否,41路,0,,
侨乡体育馆,丰泽区,否,41路,0,,
泉州体校,丰泽区,是,41路,3,,
,,,,,,
清濛狮子山公交首末站,晋江市,否,K301路,0,,
崇惠街口,晋江市,否,K301路,0,,
九牧王站,晋江市,否,K301路,0,,
清濛,晋江市,否,K301路,0,,
金浦供水公司,晋江市,否,K301路,0,,
展览城,晋江市,否,K301路,0,,
宝洲街西段,鲤城区,是,K301路,6,,
浦西村口,丰泽区,是,K301路,1,,
宝洲街中段,丰泽区,否,K301路,0,,
丰泽交警大队,丰泽区,否,K301路,0,,
刺桐南路中段,丰泽区,否,K301路,0,,
客运中心站南门,丰泽区,否,K301路,0,,
金帝花园,丰泽区,否,K301路,0,,
董埭路口,丰泽区,否,K301路,0,,
泉州中级法院,丰泽区,是,K301路,1,,
法石老人活动中心,丰泽区,是,K301路,3,,
南威大厦,丰泽区,是,K301路,2,,
后厝,丰泽区,是,K301路,0,,
蟳埔路口,丰泽区,否,K301路,0,,
蟳埔菜市,丰泽区,是,K301路,4,,
滨海街口,丰泽区,否,K301路,0,,
东梅转运,丰泽区,否,K301路,0,,
港湾街口,丰泽区,否,K301路,0,,
港湾街西段,丰泽区,否,K301路,0,,
港湾街中段,丰泽区,否,K301路,0,,
港湾街东段,丰泽区,否,K301路,0,,
市图书馆,丰泽区,否,K301路,0,,
滨海街东段,丰泽区,否,K301路,0,,
海星小区,丰泽区,否,K301路,0,,
海星小区首末站,丰泽区,否,K301路,0,,
,,,,,,
,,,,,,
宝洲街西段,鲤城区,是,泉州大桥,3,,
泉州大桥东(宝海庵),鲤城区,是,泉州大桥,13,,
泉州大桥西(轻扬体育馆),鲤城区,是,泉州大桥,1,,
华洲家装市场,鲤城区,是,泉州大桥,1,,
,,,,,,
土地后,鲤城区,是,顺济新桥,13,,
顺济新桥东(金山公园),鲤城区,是,顺济新桥,14,,
顺济新桥西(桥尾码头),鲤城区,否,顺济新桥,0,,
朵莲寺,鲤城区,是,顺济新桥,2,,
,,,,,,
三千坛,鲤城区,是,笋江大桥,5,,
笋江大桥东(婆娑三圣殿),鲤城区,是,笋江大桥,2,,
笋江大桥西(浮桥观音寺),鲤城区,是,笋江大桥,4,,
浮桥站,鲤城区,是,笋江大桥,4,,
,,,,,,
土地后,鲤城区,是,笋浯溪,13,,
金山桥,鲤城区,是,笋浯溪,6,,
鲤城交警三中队人行桥,鲤城区,是,笋浯溪,6,,
五堡公园(笋浯溪),鲤城区,是,笋浯溪,6,,
五宝街人行桥（泉郡溪灵宫）,鲤城区,是,笋浯溪,5,,
泉州老干部活动中心(笋浯溪),鲤城区,是,笋浯溪,5,,
泉郡日月太保宫(笋浯溪),鲤城区,是,笋浯溪,5,,
新华桥(笋浯溪),鲤城区,是,笋浯溪,3,,
芳草园(笋浯溪),鲤城区,是,笋浯溪,3,,
康惠楼(笋浯溪),鲤城区,是,笋浯溪,5,,
升平社区人行桥,鲤城区,是,笋浯溪,3,,
江滨北路(笋浯溪),鲤城区,是,笋浯溪,4,,
六角亭冬泳人行桥,鲤城区,是,笋浯溪,4,,
,,,,,,
小岞海产品干货(桥),鲤城区,是,东南护城河,12,,
鸿记茶庄(桥),鲤城区,是,东南护城河,18,,
跃进社区居委会办公楼(桥),鲤城区,是,东南护城河,12,,
福建省泉州市第七中学(桥),鲤城区,是,东南护城河,9,,
幸福街口(桥),鲤城区,是,东南护城河,9,,
迎津桥,鲤城区,是,东南护城河,3,,
公路局大厦(桥),鲤城区,是,东南护城河,3,,
丰泽区多元调解中心(桥),鲤城区,是,东南护城河,2,,
温陵美食街(桥),鲤城区,是,东南护城河,1,,
MissBlue生曰蛋糕(泉府大第店)(桥),鲤城区,是,东南护城河,0,,
丰泽国有宿舍(桥),鲤城区,是,东南护城河,0,,
老厨房美食(桥),鲤城区,是,东南护城河,0,,
儿童医院(桥),鲤城区,是,东南护城河,0,,
