前一节点,后一节点,路线属性,票价(元),频率(分钟/趟)
泉州外国语学校,泉州一中,1路,1,20
泉州一中,学府街西段,1路,1,20
学府街西段,北门街,1路,1,20
北门街,华侨新村,1路,1,20
华侨新村,医大二院鲤城院区,1路,1,20
医大二院鲤城院区,钟楼,1路,1,20
钟楼,泉州一院,1路,1,20
泉州一院,东门,1路,1,20
东门,东湖公园,1路,1,20
东湖公园,九一街口,1路,1,20
九一街口,温陵路中段,1路,1,20
温陵路中段,津坂路口,1路,1,20
津坂路口,水务集团,1路,1,20
水务集团,刺桐公园南门,1路,1,20
刺桐公园南门,东美街口,1路,1,20
东美街口,泉秀街口,1路,1,20
泉秀街口,客运中心站南门,1路,1,20
客运中心站南门,金帝花园,1路,1,20
金帝花园,现代广场,1路,1,20
现代广场,东海街道办事处,1路,1,20
东海街道办事处,黎明大学,1路,1,20
黎明大学,宝珊花园,1路,1,20
宝珊花园,法坊路口,1路,1,20
法坊路口,霞露口,1路,1,20
霞露口,东海滨城,1路,1,20
东海滨城,格联通街,1路,1,20
格联通街,东滨路口,1路,1,20
东滨路口,格联通街口,1路,1,20
格联通街口,公交东海站,1路,1,20
公交东海站,霞塘,1路,1,20
霞塘,东梅,1路,1,20
东梅,泉州师院,1路,1,20
泉州师院,东海大街口,1路,1,20
东海大街口,府西路,1路,1,20
府西路,泉州行政中心,1路,1,20
泉州行政中心,晋光小学东海校区,1路,1,20
晋光小学东海校区,海星小区,1路,1,20
,,,,
福厦铁路泉州站,泉州软件园,2路,1,30
泉州软件园,霞美,2路,1,30
霞美,曾坑,2路,1,30
曾坑,黄龙大桥头,2路,1,30
黄龙大桥头,招贤社区,2路,1,30
招贤社区,丰泽实小潘山校区,2路,1,30
丰泽实小潘山校区,北清西路,2路,1,30
北清西路,溪墘村口,2路,1,30
溪墘村口,送客亭,2路,1,30
送客亭,段湖村,2路,1,30
段湖村,西郊,2路,1,30
西郊,孟衙巷口,2路,1,30
孟衙巷口,龙头山,2路,1,30
龙头山,临漳水闸,2路,1,30
临漳水闸,金洲寺,2路,1,30
金洲寺,金洲旱闸,2路,1,30
金洲旱闸,新华旱闸,2路,1,30
新华旱闸,金山水闸,2路,1,30
金山水闸,义全街西段,2路,1,30
义全街西段,鲤城公安分局,2路,1,30
鲤城公安分局,幸福街口,2路,1,30
幸福街口,泉秀街西段,2路,1,30
泉秀街西段,浦西路口,2路,1,30
浦西路口,刺桐路口,2路,1,30
刺桐路口,泉州电信公司,2路,1,30
泉州电信公司,正骨医院,2路,1,30
正骨医院,行政执法局,2路,1,30
行政执法局,宝洲街口,2路,1,30
宝洲街口,坪山路南段,2路,1,30
坪山路南段,客运中心站东门,2路,1,30
客运中心站东门,院前公交站,2路,1,30
,,,,
福厦铁路泉州站,泉州软件园（北）,3路,1,15
泉州软件园（北）,群峰社区,3路,1,15
群峰社区,玉井村,3路,1,15
玉井村,上下村,3路,1,15
上下村,戴厝,3路,1,15
戴厝,群石小学,3路,1,15
群石小学,田边,3路,1,15
田边,田边村口,3路,1,15
田边村口,清源山风景区（910医院路口）,3路,1,15
清源山风景区（910医院路口）,花园头,3路,1,15
花园头,花博园,3路,1,15
花博园,泉山路南段,3路,1,15
泉山路南段,普明村,3路,1,15
普明村,北门街,3路,1,15
北门街,华侨新村,3路,1,15
华侨新村,医大二院鲤城院区,3路,1,15
医大二院鲤城院区,钟楼,3路,1,15
钟楼,泉州一院,3路,1,15
泉州一院,东门,3路,1,15
东门,东湖公园,3路,1,15
东湖公园,九一街口,3路,1,15
九一街口,儿童医院,3路,1,15
儿童医院,泰和兴业,3路,1,15
泰和兴业,人民医院,3路,1,15
人民医院,公交大厦,3路,1,15
公交大厦,坪山洞东侧,3路,1,15
坪山洞东侧,山海路口,3路,1,15
山海路口,东星,3路,1,15
东星,埭头,3路,1,15
埭头,前头,3路,1,15
前头,浔美,3路,1,15
浔美,世界城东门,3路,1,15
世界城东门,泉州一院城东分院,3路,1,15
泉州一院城东分院,泉州一院城东分院首末站,3路,1,15
,,,,
四黄,吓厝,4路,1,25
吓厝,交警高速支队二大队,4路,1,25
交警高速支队二大队,新宅,4路,1,25
新宅,仙塘,4路,1,25
仙塘,森隆电讯,4路,1,25
森隆电讯,常泰路中段,4路,1,25
常泰路中段,泰明街西段,4路,1,25
泰明街西段,锦田村,4路,1,25
锦田村,明新华侨中学,4路,1,25
明新华侨中学,斗南路口,4路,1,25
斗南路口,古店社区,4路,1,25
古店社区,培新机械厂,4路,1,25
培新机械厂,道崎鞋业,4路,1,25
道崎鞋业,侨乡旧货,4路,1,25
侨乡旧货,石崎农贸市场,4路,1,25
石崎农贸市场,浮桥街道办事处,4路,1,25
浮桥街道办事处,三千坛,4路,1,25
三千坛,蔬菜公司,4路,1,25
蔬菜公司,甲第巷口,4路,1,25
甲第巷口,新门菜市,4路,1,25
新门菜市,府文庙,4路,1,25
府文庙,关帝庙,4路,1,25
关帝庙,棋盘园,4路,1,25
棋盘园,海关大楼,4路,1,25
海关大楼,泉秀街西段,4路,1,25
泉秀街西段,浦西路口,4路,1,25
浦西路口,刺桐路口,4路,1,25
刺桐路口,客运中心站南门,4路,1,25
客运中心站南门,客运中心站东门,4路,1,25
客运中心站东门,妙云街口,4路,1,25
妙云街口,市皮肤医院,4路,1,25
市皮肤医院,北师大附中,4路,1,25
,,,,
九日山,九日山(307省道),6路,1,25
九日山(307省道),中南酒店,6路,1,25
中南酒店,侨中路路口,6路,1,25
侨中路路口,顶堡村,6路,1,25
顶堡村,丰州,6路,1,25
丰州,糖房,6路,1,25
糖房,塘房中路,6路,1,25
塘房中路,见龙亭小区南门,6路,1,25
见龙亭小区南门,招贤社区,6路,1,25
招贤社区,丰泽实小潘山校区,6路,1,25
丰泽实小潘山校区,北清西路,6路,1,25
北清西路,北峰工业区,6路,1,25
北峰工业区,坑尾路口,6路,1,25
坑尾路口,西湖公园,6路,1,25
西湖公园,邮电公寓,6路,1,25
邮电公寓,建南花园,6路,1,25
建南花园,新华小区,6路,1,25
新华小区,西湖小区,6路,1,25
西湖小区,培元中学,6路,1,25
培元中学,开元寺西门,6路,1,25
开元寺西门,省五建,6路,1,25
省五建,新门菜市,6路,1,25
新门菜市,新门街头,6路,1,25
新门街头,府文庙,6路,1,25
府文庙,关帝庙,6路,1,25
关帝庙,棋盘园,6路,1,25
棋盘园,海关大楼,6路,1,25
海关大楼,温陵路南段,6路,1,25
温陵路南段,宝洲街西段,6路,1,25
宝洲街西段,东南医院,6路,1,25
东南医院,浦西村口,6路,1,25
浦西村口,宝洲街中段,6路,1,25
宝洲街中段,雅园路口,6路,1,25
雅园路口,宝洲街口,6路,1,25
宝洲街口,坪山路南段,6路,1,25
坪山路南段,客运中心站东门,6路,1,25
客运中心站东门,院前公交站,6路,1,25
,,,,
文化宫,百源路,7路,1,15
百源路,关帝庙,7路,1,15
关帝庙,棋盘园,7路,1,15
棋盘园,津坂路口,7路,1,15
津坂路口,水务集团,7路,1,15
水务集团,刺桐公园南门,7路,1,15
刺桐公园南门,祥业花园,7路,1,15
祥业花园,丰泽街口,7路,1,15
丰泽街口,人民医院,7路,1,15
人民医院,公交大厦,7路,1,15
公交大厦,坪山洞东侧,7路,1,15
坪山洞东侧,山海路口,7路,1,15
山海路口,东星,7路,1,15
东星,埭头,7路,1,15
埭头,前头,7路,1,15
前头,浔美,7路,1,15
浔美,世界城东门,7路,1,15
世界城东门,泉州一院城东分院,7路,1,15
泉州一院城东分院,海峡体育中心北门,7路,1,15
海峡体育中心北门,体育中心北四门,7路,1,15
体育中心北四门,城东中学,7路,1,15
城东中学,华侨大学首末站,7路,1,15
,,,,
文化宫,百源路,8路,1,20
百源路,关帝庙,8路,1,20
关帝庙,天后路北段,8路,1,20
天后路北段,幸福街口,8路,1,20
幸福街口,温陵路南段,8路,1,20
温陵路南段,宝洲街西段,8路,1,20
宝洲街西段,东南医院,8路,1,20
东南医院,浦西村口,8路,1,20
浦西村口,宝洲街中段,8路,1,20
宝洲街中段,丰泽交警大队,8路,1,20
丰泽交警大队,刺桐南路中段,8路,1,20
刺桐南路中段,客运中心站南门,8路,1,20
客运中心站南门,金帝花园,8路,1,20
金帝花园,现代广场,8路,1,20
现代广场,东海街道办事处,8路,1,20
东海街道办事处,黎明大学,8路,1,20
黎明大学,宝珊花园,8路,1,20
宝珊花园,法坊路口,8路,1,20
法坊路口,霞露口,8路,1,20
霞露口,东海滨城,8路,1,20
东海滨城,格联通街,8路,1,20
格联通街,东滨路口,8路,1,20
东滨路口,格联通街口,8路,1,20
格联通街口,公交东海站,8路,1,20
公交东海站,霞塘,8路,1,20
霞塘,东梅,8路,1,20
东梅,泉州师院,8路,1,20
泉州师院,东海大街口,8路,1,20
东海大街口,府西路,8路,1,20
府西路,泉州行政中心,8路,1,20
泉州行政中心,晋光小学东海校区,8路,1,20
晋光小学东海校区,海星小区,8路,1,20
海星小区,海星小区首末站,8路,1,20
,,,,
文化宫,承天寺,10路,3.5,10
承天寺,泉州一院,10路,3.5,10
泉州一院,东门,10路,3.5,10
东门,东湖影院,10路,3.5,10
东湖影院,柑舍头,10路,3.5,10
柑舍头,圣福花苑,10路,3.5,10
圣福花苑,后茂路口,10路,3.5,10
后茂路口,泉州科技中学,10路,3.5,10
泉州科技中学,北清东路中石油,10路,3.5,10
北清东路中石油,泉州歌舞剧院,10路,3.5,10
泉州歌舞剧院,花园头,10路,3.5,10
花园头,清源山风景区（910医院路口）,10路,3.5,10
清源山风景区（910医院路口）,田边村口,10路,3.5,10
田边村口,田边,10路,3.5,10
田边,群石小学,10路,3.5,10
群石小学,戴厝,10路,3.5,10
戴厝,上下村,10路,3.5,10
上下村,山兜,10路,3.5,10
山兜,工业区路口,10路,3.5,10
工业区路口,双阳街道办事处,10路,3.5,10
双阳街道办事处,双阳中学,10路,3.5,10
双阳中学,仕林坑,10路,3.5,10
仕林坑,黑峰山,10路,3.5,10
黑峰山,埔边,10路,3.5,10
埔边,霞溪,10路,3.5,10
霞溪,浮桥村,10路,3.5,10
浮桥村,下庄路口,10路,3.5,10
下庄路口,河市,10路,3.5,10
,,,,
市消防支队古城中队,蔬菜公司,14路,1,30
蔬菜公司,甲第巷口,14路,1,30
甲第巷口,新门菜市,14路,1,30
新门菜市,新门街头,14路,1,30
新门街头,府文庙,14路,1,30
府文庙,关帝庙,14路,1,30
关帝庙,棋盘园,14路,1,30
棋盘园,津坂路口,14路,1,30
津坂路口,水务集团,14路,1,30
水务集团,刺桐公园南门,14路,1,30
刺桐公园南门,东美小区,14路,1,30
东美小区,丰泽区政府,14路,1,30
丰泽区政府,妙云街口,14路,1,30
妙云街口,客运中心站东门,14路,1,30
客运中心站东门,金帝花园,14路,1,30
金帝花园,现代广场,14路,1,30
现代广场,东海街道办事处,14路,1,30
东海街道办事处,黎明大学,14路,1,30
黎明大学,宝珊花园,14路,1,30
宝珊花园,大兴街,14路,1,30
大兴街,霞露口,14路,1,30
霞露口,迎宾馆路口,14路,1,30
迎宾馆路口,森林公园,14路,1,30
森林公园,赵厝路口,14路,1,30
赵厝路口,莲垵,14路,1,30
莲垵,后渚,14路,1,30
后渚,泉州海警局,14路,1,30
泉州海警局,市政务中心,14路,1,30
市政务中心,市政务中心(双垵街),14路,1,30
市政务中心(双垵街),市政务中心(府东路北段),14路,1,30
市政务中心(府东路北段),泉州行政中心,14路,1,30
泉州行政中心,府西路,14路,1,30
府西路,东海大街口,14路,1,30
东海大街口,泉州师院,14路,1,30
泉州师院,东梅,14路,1,30
东梅,霞塘,14路,1,30
霞塘,公交东海站,14路,1,30
,,,,
客运中心站,坪山路南段,15路,1,25
坪山路南段,宝洲街口,15路,1,25
宝洲街口,雅园路口,15路,1,25
雅园路口,宝洲街中段,15路,1,25
宝洲街中段,浦西村口,15路,1,25
浦西村口,东南医院,15路,1,25
东南医院,泉秀街道办事处,15路,1,25
泉秀街道办事处,泉秀街西段,15路,1,25
泉秀街西段,海关大楼,15路,1,25
海关大楼,温陵路中段,15路,1,25
温陵路中段,九一街口,15路,1,25
九一街口,东湖公园,15路,1,25
东湖公园,东门,15路,1,25
东门,红梅新村,15路,1,25
红梅新村,泉州电大,15路,1,25
泉州电大,学府街东段,15路,1,25
学府街东段,泉州外国语学校,15路,1,25
泉州外国语学校,泉州一中,15路,1,25
泉州一中,学府街西段,15路,1,25
学府街西段,普明村,15路,1,25
普明村,泉山路南段,15路,1,25
泉山路南段,倒松,15路,1,25
倒松,干休所路口,15路,1,25
干休所路口,技工学校,15路,1,25
技工学校,清源山风景区,15路,1,25
,,,,
福厦铁路泉州站,泉州软件园,17路,1,10
泉州软件园,霞美,17路,1,10
霞美,曾坑,17路,1,10
曾坑,黄龙大桥头,17路,1,10
黄龙大桥头,招贤社区,17路,1,10
招贤社区,丰泽实小潘山校区,17路,1,10
丰泽实小潘山校区,北清西路,17路,1,10
北清西路,北峰工业区,17路,1,10
北峰工业区,坑尾路口,17路,1,10
坑尾路口,西湖公园,17路,1,10
西湖公园,邮电公寓,17路,1,10
邮电公寓,建南花园,17路,1,10
建南花园,新华小区,17路,1,10
新华小区,西湖小区,17路,1,10
西湖小区,城北路西段,17路,1,10
城北路西段,朝天门,17路,1,10
朝天门,北门街,17路,1,10
北门街,华侨新村,17路,1,10
华侨新村,医大二院鲤城院区,17路,1,10
医大二院鲤城院区,钟楼,17路,1,10
钟楼,泉州一院,17路,1,10
泉州一院,东门,17路,1,10
东门,东湖影院,17路,1,10
东湖影院,田安路北段,17路,1,10
田安路北段,闽侨站,17路,1,10
闽侨站,青少年宫,17路,1,10
青少年宫,丰泽小区,17路,1,10
丰泽小区,后坂街口,17路,1,10
后坂街口,信和站,17路,1,10
信和站,泉秀街西段,17路,1,10
泉秀街西段,温陵路南段,17路,1,10
温陵路南段,宝洲街西段,17路,1,10
宝洲街西段,东南医院,17路,1,10
东南医院,浦西村口,17路,1,10
浦西村口,宝洲街中段,17路,1,10
宝洲街中段,雅园路口,17路,1,10
雅园路口,宝洲花园,17路,1,10
宝洲花园,董埭路口,17路,1,10
董埭路口,云鹿路口,17路,1,10
云鹿路口,云山小学,17路,1,10
云山小学,北师大附中,17路,1,10
,,,,
苏夫人姑庙,上村路口,20路,1,30
上村路口,泉海机械,20路,1,30
泉海机械,鲤城区教育基地,20路,1,30
鲤城区教育基地,赤土村口,20路,1,30
赤土村口,泉州经贸学院,20路,1,30
泉州经贸学院,高新科技园,20路,1,30
高新科技园,市中医院,20路,1,30
市中医院,笋江路中段,20路,1,30
笋江路中段,笋江路东段,20路,1,30
笋江路东段,浮桥站,20路,1,30
浮桥站,霞洲,20路,1,30
霞洲,锦工中路口,20路,1,30
锦工中路口,王宫,20路,1,30
王宫,泉州建材市场,20路,1,30
泉州建材市场,上埕路口,20路,1,30
上埕路口,浦口,20路,1,30
浦口,宝洲街西段,20路,1,30
宝洲街西段,东南医院,20路,1,30
东南医院,浦西村口,20路,1,30
浦西村口,宝洲街中段,20路,1,30
宝洲街中段,雅园路口,20路,1,30
雅园路口,宝洲街口,20路,1,30
宝洲街口,坪山路南段,20路,1,30
坪山路南段,客运中心站东门,20路,1,30
客运中心站东门,院前公交站,20路,1,30
,,,,
西湖公园,邮电公寓,21路,1,8
邮电公寓,建南花园,21路,1,8
建南花园,西湖街西段,21路,1,8
西湖街西段,西湖街中段,21路,1,8
西湖街中段,西湖街东段,21路,1,8
西湖街东段,普明村,21路,1,8
普明村,北门街,21路,1,8
北门街,华侨新村,21路,1,8
华侨新村,医大二院鲤城院区,21路,1,8
医大二院鲤城院区,钟楼,21路,1,8
钟楼,承天寺,21路,1,8
承天寺,百源路,21路,1,8
百源路,府文庙,21路,1,8
府文庙,水门巷口,21路,1,8
水门巷口,指挥巷口,21路,1,8
指挥巷口,义全街口,21路,1,8
义全街口,鲤城公安分局,21路,1,8
鲤城公安分局,幸福街口,21路,1,8
幸福街口,泉秀街西段,21路,1,8
泉秀街西段,浦西路口,21路,1,8
浦西路口,刺桐路口,21路,1,8
刺桐路口,客运中心站南门,21路,1,8
客运中心站南门,金帝花园,21路,1,8
金帝花园,现代广场,21路,1,8
现代广场,东海街道办事处,21路,1,8
东海街道办事处,黎明大学,21路,1,8
黎明大学,宝珊花园,21路,1,8
宝珊花园,法坊路口,21路,1,8
法坊路口,霞露口,21路,1,8
霞露口,东海滨城,21路,1,8
东海滨城,医大二院东海院区,21路,1,8
医大二院东海院区,东海大街中段,21路,1,8
东海大街中段,东海大街东段,21路,1,8
东海大街东段,泉州师院,21路,1,8
,,,,
福厦铁路泉州站,泉州软件园,22路,1,35
泉州软件园,霞美,22路,1,35
霞美,曾坑,22路,1,35
曾坑,黄龙大桥头,22路,1,35
黄龙大桥头,潘山市场,22路,1,35
潘山市场,丰泽实小潘山校区,22路,1,35
丰泽实小潘山校区,北清西路,22路,1,35
北清西路,北峰工业区,22路,1,35
北峰工业区,坑尾路口,22路,1,35
坑尾路口,西湖公园,22路,1,35
西湖公园,邮电公寓,22路,1,35
邮电公寓,建南花园,22路,1,35
建南花园,新华小区,22路,1,35
新华小区,西湖小区,22路,1,35
西湖小区,城北路西段,22路,1,35
城北路西段,朝天门,22路,1,35
朝天门,学府街西段,22路,1,35
学府街西段,泉州一中,22路,1,35
泉州一中,泉州外国语学校,22路,1,35
泉州外国语学校,南俊路北段,22路,1,35
南俊路北段,泉州一院,22路,1,35
泉州一院,东门,22路,1,35
东门,东湖影院,22路,1,35
东湖影院,侨乡体育馆,22路,1,35
侨乡体育馆,人才大厦,22路,1,35
人才大厦,湖心街口,22路,1,35
湖心街口,东方银座,22路,1,35
东方银座,刺桐公园,22路,1,35
刺桐公园,东美街口,22路,1,35
东美街口,泉秀街口,22路,1,35
泉秀街口,客运中心站南门,22路,1,35
客运中心站南门,客运中心站东门,22路,1,35
客运中心站东门,妙云街口,22路,1,35
,,,,
中骏商城S公寓,高新科技园,23路,1,30
高新科技园,洋仕村口(市中医院东),23路,1,30
洋仕村口(市中医院东),樟崎村口,23路,1,30
樟崎村口,万祥汽车站,23路,1,30
